TIME_PERIOD,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,value
2003,A,EST,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,18006.775
2004,A,EST,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,19811.435
2020,A,EST,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,54074.453
2015,A,EST,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,39094.706
2022,A,EST,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,64477.302
2021,A,EST,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,58895.77
2023,A,EST,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,64116.018
2014,A,EST,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,38652.401
1996,A,EST,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,9752.442
1997,A,EST,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,11165.366
1998,A,EST,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,11713.743
2001,A,EST,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,14311.471
2016,A,EST,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,42036.589
2019,A,EST,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,53853.948
2018,A,EST,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,49073.116
2017,A,EST,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,45458.516
2006,A,EST,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,26058.587
2003,A,BEL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,320981.268
2000,A,BEL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,284862.733
