TIME_PERIOD,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,value
1999,A,CAN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,30401.286
1999,A,AUT,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,7992.323
1998,A,ZAF,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,42615.2393
1998,A,SGP,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,3927.0
1998,A,SRB,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,9775.581
1998,A,RUS,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,147670.78
1998,A,ROU,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,22502.8
1998,A,MLT,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,385.269
1998,A,IDN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,198147.795
1998,A,CYP,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,679.05
1998,A,HRV,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,4532.136
1998,A,CHN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,1247610.0
1998,A,CMR,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,14724.0
1998,A,BGR,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,8256.786
1998,A,BRA,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,168606.4
1998,A,ALB,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,3118.654
1998,A,USA,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,276154.0
1998,A,TUR,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,62464.0
1998,A,CHE,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,7176.775813
1998,A,SWE,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,8851.75
1998,A,ESP,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,40214.066
1998,A,SVN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,1982.353
1998,A,SVK,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,5390.838
1998,A,PRT,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,10160.196
1998,A,POL,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,38284.0
1998,A,NOR,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,4431.0
1998,A,NLD,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,15707.0
1998,A,LUX,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,425.195
1998,A,LTU,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,3549.331
1998,A,LVA,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,2409.875
1998,A,KOR,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,46287.0
1998,A,JPN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,126349.0
1998,A,ITA,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,56906.7
1998,A,ISL,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,274.0
1998,A,HUN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,10266.57
1998,A,GRC,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,10720.566
1998,A,DEU,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,81446.0
1998,A,FIN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,5153.5
1998,A,EST,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,1393.1
1998,A,DNK,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,5303.229
1998,A,CZE,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,10294.943
