TIME_PERIOD,REF_AREA,MEASURE,UNIT_MEASURE,TRANSFORMATION,ADJUSTMENT,SEX,AGE,ACTIVITY,FREQ,value
2023,GBR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,33302.0
2019,POL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,16953.75
2020,POL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,16908.75
2018,SWE,LF,PS,_Z,Y,_T,Y15T64,_Z,A,5211.75
2019,SWE,LF,PS,_Z,Y,_T,Y15T64,_Z,A,5268.5
2020,SWE,LF,PS,_Z,Y,_T,Y15T64,_Z,A,5269.75
2024,AUT,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4637.325
2024,BEL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,5285.85
2024,CZE,LF,PS,_Z,Y,_T,Y15T64,_Z,A,5147.85
2024,DNK,LF,PS,_Z,Y,_T,Y15T64,_Z,A,3116.825
2024,EST,LF,PS,_Z,Y,_T,Y15T64,_Z,A,709.825
2024,FIN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2738.75
2024,FRA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,30653.53
2024,GRC,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4617.45
2024,HUN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4790.6
2024,ISL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,224.875
2024,IRL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2757.925
2024,ITA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,24798.15
2024,LVA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,889.425
2024,LTU,LF,PS,_Z,Y,_T,Y15T64,_Z,A,1495.625
2024,LUX,LF,PS,_Z,Y,_T,Y15T64,_Z,A,342.15
2024,NLD,LF,PS,_Z,Y,_T,Y15T64,_Z,A,9773.1
2024,NOR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2886.0
2024,POL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,17279.72
2024,PRT,LF,PS,_Z,Y,_T,Y15T64,_Z,A,5227.9
2024,SVK,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2710.0
2024,SVN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,1017.2
2024,ESP,LF,PS,_Z,Y,_T,Y15T64,_Z,A,24045.43
2024,SWE,LF,PS,_Z,Y,_T,Y15T64,_Z,A,5492.975
2024,CHE,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4887.2
2024,BGR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2945.6
2024,HRV,LF,PS,_Z,Y,_T,Y15T64,_Z,A,1741.075
2024,CHL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,9565.161
2024,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,60111.67
2024,KOR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,25472.53
2024,EA20,LF,PS,_Z,Y,_T,Y15T64,_Z,A,166650.8
2024,EU27_2020,LF,PS,_Z,Y,_T,Y15T64,_Z,A,213643.6
2024,DEU,LF,PS,_Z,Y,_T,Y15T64,_Z,A,42391.75
