,TIME_PERIOD,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ,value
169,2018,CIV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.904
170,2017,CIV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.065
171,2016,CIV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.025
172,2015,CIV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.606
173,2014,CIV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.206
174,2023,COK,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.476
175,2022,COK,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.116
176,2021,COK,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.851
177,2020,COK,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.823
178,2019,COK,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.078
179,2018,COK,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,28.354
180,2017,COK,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.057
181,2019,SGP,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.185
182,2018,SGP,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.892
183,2017,SGP,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.815
184,2016,SGP,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.021
185,2015,SGP,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.04
186,2014,SGP,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.357
187,2022,SLE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.421
188,2021,SLE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.29
189,2020,SLE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.496
190,2019,SLE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.27
191,2018,SLE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.462
192,2017,SLE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.753
193,2016,SLE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.648
194,2015,SLE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,9.893
195,2014,SLE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,8.677
196,2022,SYC,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.233
197,2021,SYC,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,28.425
198,2020,SYC,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.805
199,2019,SYC,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.046
200,2018,SYC,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.122
201,2017,SYC,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.414
202,2016,SYC,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.286
203,2015,SYC,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,28.705
204,2014,SYC,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.582
205,2022,SEN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.785
206,2021,SEN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.737
207,2020,SEN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.523
208,2019,SEN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.714
209,2018,SEN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.288
210,2017,SEN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.73
211,2016,SEN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.019
212,2015,SEN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.397
213,2014,SEN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.234
214,2023,WSM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,24.687
215,2022,WSM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.036
216,2021,WSM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.824
217,2020,WSM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.243
218,2019,WSM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.812
219,2018,WSM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.666
220,2017,WSM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.418
221,2016,WSM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.166
222,2015,WSM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.925
223,2014,WSM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.02
224,2023,LCA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.779
225,2022,LCA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.956
226,2021,LCA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.506
227,2020,LCA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.476
228,2019,LCA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.863
