,TIME_PERIOD,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ,value
877,2019,Germany,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,39.326
878,2018,Germany,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,39.196
879,2017,Germany,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,38.528
880,2016,Germany,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,38.518
881,2015,Germany,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,38.052
882,2014,Germany,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,37.614
883,2023,France,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,43.814
884,2022,France,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,45.774
885,2021,France,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,45.059
886,2020,France,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,45.239
887,2019,France,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,45.024
888,2018,France,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,46.022
889,2017,France,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,46.239
890,2016,France,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,45.397
891,2015,France,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,45.363
892,2014,France,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,45.406
893,2023,Finland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.45
894,2022,Finland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,43.175
895,2021,Finland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,43.211
896,2020,Finland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,41.846
897,2019,Finland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.291
898,2018,Finland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.387
899,2017,Finland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.857
900,2014,OECD Total,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.831
901,2016,Finland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,43.727
902,2015,Finland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,43.524
903,2014,Finland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,43.513
904,2023,Estonia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.51
905,2022,Estonia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.554
906,2021,Estonia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.502
907,2020,Estonia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.79
908,2019,Estonia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.655
909,2018,Estonia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.271
910,2017,Estonia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.902
911,2016,Estonia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.851
912,2015,Estonia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.719
913,2014,Estonia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.635
914,2023,Denmark,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,43.391
915,2022,Denmark,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,41.934
916,2021,Denmark,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,47.249
917,2020,Denmark,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,47.237
918,2019,Denmark,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,47.146
919,2018,Denmark,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,44.445
920,2017,Denmark,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,45.457
921,2016,Denmark,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,45.799
922,2015,Denmark,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,46.487
923,2014,Denmark,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,48.776
924,2023,Czech Republic,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.7
925,2022,Czech Republic,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.187
926,2021,Czech Republic,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.654
927,2020,Czech Republic,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.046
928,2019,Czech Republic,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.203
929,2018,Czech Republic,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.559
930,2017,Czech Republic,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.982
931,2016,Czech Republic,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.707
932,2015,Czech Republic,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.946
933,2014,Czech Republic,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.61
934,2023,Costa Rica,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,24.931
935,2022,Costa Rica,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.186
936,2021,Costa Rica,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,24.845
937,2020,Costa Rica,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.566
938,2019,Costa Rica,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.408
939,2018,Costa Rica,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.157
940,2017,Costa Rica,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.984
941,2016,Costa Rica,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.486
942,2015,Costa Rica,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.947
943,2014,Costa Rica,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.609
944,2023,Colombia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.243
945,2022,Colombia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.652
946,2021,Colombia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.193
947,2020,Colombia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.773
948,2019,Colombia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.692
949,2018,Colombia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.265
950,2017,Colombia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.983
951,2016,Colombia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.079
952,2015,Colombia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.903
953,2014,Colombia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.55
954,2023,Chile,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.615
955,2022,Chile,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.841
956,2021,Chile,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.317
957,2020,Chile,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.29
958,2019,Chile,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.982
959,2018,Chile,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.282
960,2017,Chile,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.223
961,2016,Chile,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.223
962,2015,Chile,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.51
963,2014,Chile,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.699
964,2023,Canada,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.778
965,2022,Canada,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.832
966,2021,Canada,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.799
967,2020,Canada,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.468
968,2019,Canada,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.082
969,2018,Canada,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.482
970,2017,Canada,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.044
971,2016,Canada,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.258
972,2015,Canada,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.82
973,2014,Canada,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.266
974,2023,Belgium,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.58
975,2022,Belgium,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.377
976,2021,Belgium,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.065
977,2020,Belgium,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.219
978,2019,Belgium,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.385
979,2018,Belgium,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,43.824
980,2017,Belgium,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,43.797
981,2016,Belgium,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,43.288
982,2015,Belgium,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,44.115
983,2014,Belgium,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,44.75
984,2023,Austria,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.665
985,2022,Austria,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,43.181
986,2021,Austria,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,43.383
987,2020,Austria,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.102
988,2019,Austria,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.617
989,2018,Austria,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.261
990,2017,Austria,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,41.871
991,2016,Austria,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,41.753
992,2015,Austria,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,43.126
993,2014,Austria,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.699
994,2019,Australia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.657
995,2018,Australia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,28.571
996,2017,Australia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,28.517
997,2016,Australia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.511
998,2015,Australia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.773
999,2014,Australia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.15
1000,2023,A9,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.261
1001,2022,A9,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.422
1002,2021,A9,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.012
1003,2020,A9,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.816
1004,2019,A9,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.44
1005,2018,A9,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.258
1006,2017,A9,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.956
1007,2016,A9,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.949
1008,2015,A9,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.043
1009,2014,A9,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.567
1010,2023,URY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.411
1011,2022,URY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.009
1012,2021,URY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.879
1013,2020,URY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.625
1014,2019,URY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.15
1015,2018,URY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.623
1016,2017,URY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.548
1017,2016,URY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.486
1018,2015,URY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.076
1019,2014,URY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.149
1020,2023,GUY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.593
1021,2022,GUY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.57
1022,2021,GUY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.843
1023,2020,GUY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.346
1024,2019,GUY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.198
1025,2018,GUY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.165
1026,2017,GUY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.532
1027,2016,GUY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.398
1028,2015,GUY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.092
1029,2014,GUY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.765
1030,2023,LIE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.496
1031,2022,LIE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.809
1032,2021,LIE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.328
1033,2020,LIE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,28.141
1034,2019,LIE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.494
1035,2018,LIE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.882
1036,2017,LIE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.331
1037,2016,LIE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.956
1038,2015,LIE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.428
1039,2014,LIE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.745
1040,2023,MYS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.12
1041,2022,MYS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.144
1042,2023,ARM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.505
1043,2022,ARM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.655
1044,2021,ARM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.697
1045,2020,ARM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.407
1046,2019,ARM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.379
1047,2018,ARM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.909
1048,2017,ARM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.812
1049,2016,ARM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.279
1050,2015,ARM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.129
1051,2014,ARM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.012
1052,2023,Argentina,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.842
1053,2022,Argentina,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.558
1054,2021,Argentina,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.129
1055,2020,Argentina,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.746
1056,2019,Argentina,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,28.503
1057,2018,Argentina,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,28.513
1058,2017,Argentina,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.041
1059,2016,Argentina,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.673
1060,2015,Argentina,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.454
1061,2014,Argentina,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.123
1062,2023,ATG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.852
1063,2022,ATG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.097
1064,2021,ATG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.581
1065,2020,ATG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.17
1066,2019,ATG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.592
1067,2018,ATG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.344
1068,2017,ATG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.724
1069,2016,ATG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.893
1070,2015,ATG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.948
1071,2014,ATG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.019
1072,2023,United States,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.184
1073,2022,United States,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.607
1074,2021,United States,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.709
1075,2020,United States,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.57
1076,2019,United States,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,24.982
1077,2018,United States,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,24.816
1078,2017,United States,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.459
1079,2016,United States,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.713
1080,2015,United States,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.087
1081,2014,United States,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.786
1082,2023,United Kingdom,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,35.335
1083,2022,United Kingdom,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,35.42
1084,2021,United Kingdom,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.227
1085,2020,United Kingdom,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.812
1086,2019,United Kingdom,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.49
1087,2018,United Kingdom,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.768
1088,2017,United Kingdom,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.733
1089,2016,United Kingdom,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.45
1090,2015,United Kingdom,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.907
1091,2014,United Kingdom,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.693
1092,2023,Turkey,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.455
1093,2022,Turkey,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.945
1094,2021,Turkey,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.914
1095,2020,Turkey,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.861
1096,2019,Turkey,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.103
1097,2018,Turkey,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.968
1098,2017,Turkey,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,24.68
1099,2016,Turkey,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.128
1100,2015,Turkey,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,24.957
1101,2014,Turkey,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,24.457
1102,2023,Switzerland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.093
1103,2022,Switzerland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.91
1104,2021,Switzerland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,28.035
1105,2020,Switzerland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.912
1106,2019,Switzerland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.66
1107,2018,Switzerland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.182
1108,2017,Switzerland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.716
1109,2016,Switzerland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.938
1110,2015,Switzerland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.956
1111,2014,Switzerland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.189
1112,2023,Sweden,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,41.365
1113,2022,Sweden,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.512
1114,2021,Sweden,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.761
1115,2020,Sweden,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.58
1116,2019,Sweden,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.971
1117,2018,Sweden,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,44.11
1118,2017,Sweden,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,44.495
1119,2016,Sweden,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,44.219
1120,2015,Sweden,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.918
1121,2014,Sweden,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.49
1122,2023,Spain,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,37.328
1123,2022,Spain,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,37.59
1124,2021,Spain,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,37.813
1125,2020,Spain,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,36.844
1126,2019,Spain,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.663
1127,2018,Spain,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.645
1128,2017,Spain,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.852
1129,2016,Spain,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.58
1130,2015,Spain,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.827
1131,2014,Spain,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.872
1132,2023,Slovenia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,36.886
1133,2022,Slovenia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,37.402
1134,2021,Slovenia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,38.251
1135,2020,Slovenia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,37.555
1136,2019,Slovenia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,37.539
1137,2018,Slovenia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,37.239
1138,2017,Slovenia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,37.067
1139,2016,Slovenia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,37.385
1140,2015,Slovenia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,37.311
1141,2014,Slovenia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,37.179
1142,2023,Slovak Republic,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,35.489
1143,2022,Slovak Republic,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,35.011
1144,2021,Slovak Republic,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,35.41
1145,2020,Slovak Republic,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.778
1146,2019,Slovak Republic,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.534
1147,2018,Slovak Republic,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.027
1148,2017,Slovak Republic,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.966
1149,2016,Slovak Republic,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.071
1150,2015,Slovak Republic,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.51
1151,2014,Slovak Republic,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.861
1152,2023,Portugal,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,35.755
1153,2022,Portugal,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,36.014
1154,2021,Portugal,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,35.183
1155,2020,Portugal,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,35.164
1156,2019,Portugal,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.498
1157,2018,Portugal,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.656
1158,2017,Portugal,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.112
1159,2016,Portugal,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.051
1160,2015,Portugal,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.382
1161,2014,Portugal,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.182
1162,2023,Poland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,35.13
1163,2022,Poland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.38
1164,2021,Poland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,36.698
