TIME_PERIOD,STANDARD_REVENUE,Argentina,Australia,Austria,Belgium,Bulgaria,Brazil,Canada,Switzerland,Chile,China (People’s Republic of),Cameroon,Colombia,Cabo Verde,Costa Rica,Czechia,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Georgia,Greece,Hong Kong (China),Croatia,Hungary,Indonesia,Ireland,Iceland,Israel,Italy,Japan,Korea,Lithuania,Luxembourg,Latvia,Morocco,Madagascar,Mexico,Malta,Netherlands,Norway,New Zealand,Poland,Portugal,Romania,Senegal,Singapore,Slovak Republic,Slovenia,Sweden,Türkiye,United States,South Africa,Zambia
1998,Taxes on property,1.134,2.642,0.572,2.074,0.204,1.721,3.706,2.478,1.311,,0.079,0.555,0.612,0.196,0.505,0.844,1.767,1.962,0.372,1.071,3.105,3.254,0.776,1.969,,1.116,0.587,0.23,1.564,2.145,3.248,1.916,2.785,2.061,0.411,3.267,1.274,,0.064,0.192,0.813,1.805,0.99,1.813,1.372,1.004,0.184,0.23,,0.632,0.813,1.709,0.712,3.004,0.314,
1998,Taxes on goods and services,11.102,8.035,12.587,11.09,12.397,11.775,8.837,5.519,12.154,,6.43,7.076,9.144,9.982,9.948,9.869,16.364,10.033,11.995,13.837,12.032,10.535,6.745,11.608,,19.852,14.605,2.909,12.22,15.923,11.721,11.086,4.961,7.189,13.435,9.713,12.375,,6.638,4.491,10.826,10.781,15.377,11.724,12.04,13.085,11.052,8.377,,12.478,14.138,12.05,7.429,4.61,8.322,
1998,Total tax revenue,18.814,29.353,43.447,44.437,30.327,26.636,35.711,25.829,18.739,,10.131,16.352,14.852,20.466,32.116,35.539,47.468,32.762,33.622,44.792,43.797,31.252,12.88,30.755,,42.004,37.461,6.174,30.797,33.628,33.256,39.92,25.259,18.954,32.761,37.382,31.26,,8.262,10.354,24.548,36.204,41.41,32.288,35.268,30.058,28.798,12.143,,36.097,37.848,47.695,20.6,27.867,21.178,
1999,"Taxes on income, profits and capital gains of individuals and corporations",3.18,17.841,12.151,16.78,10.174,5.698,17.692,10.903,3.587,,2.496,3.678,5.443,3.135,7.605,10.815,28.917,9.297,9.653,17.183,10.593,12.25,2.74,8.055,,6.472,8.956,4.231,13.407,13.825,11.852,13.857,7.948,4.769,9.058,13.415,7.417,,1.471,3.836,7.832,9.656,15.624,18.748,7.214,8.656,7.351,2.472,,8.417,6.743,19.482,7.073,13.731,12.216,
1999,Social security contributions (SSC),3.173,0.0,14.563,13.919,9.528,6.696,4.75,6.572,1.37,,0.777,3.238,0.0,6.385,14.32,14.237,0.647,11.503,10.975,12.168,15.865,5.439,1.833,9.596,,13.856,11.56,,3.597,2.738,4.927,11.635,8.917,3.3,9.817,9.791,10.313,,,1.871,5.959,14.292,9.837,0.0,13.64,7.772,11.019,0.496,,13.752,14.727,11.526,4.175,6.63,0.0,
1999,Taxes on property,1.178,2.738,0.573,2.062,0.236,1.695,3.57,2.595,1.401,,0.103,1.113,0.677,0.16,0.452,0.898,1.769,2.052,0.367,1.053,3.162,3.444,0.837,2.39,,1.105,0.634,0.284,1.691,2.155,3.279,1.859,2.788,2.631,0.454,3.653,1.0,,0.071,0.191,0.768,1.896,1.027,1.886,1.446,1.157,0.445,0.283,,0.638,0.741,1.702,0.636,3.001,0.401,
1999,Taxes on goods and services,10.893,7.835,12.697,11.478,12.655,13.124,8.541,5.932,11.725,,6.454,6.66,9.166,9.417,10.528,10.297,16.375,10.283,11.375,13.831,12.046,10.731,7.415,11.775,,19.377,15.441,3.212,12.036,17.023,11.794,11.335,5.085,7.741,13.334,9.797,11.521,,7.846,4.94,11.72,11.077,15.179,11.69,12.439,13.194,11.824,9.013,,12.037,14.658,11.964,8.085,4.571,8.329,
1999,Total tax revenue,18.934,29.78,43.09,44.239,32.914,27.925,35.487,26.048,17.978,,9.975,16.204,15.286,21.199,32.913,36.253,48.045,33.136,32.37,44.262,44.517,31.864,13.733,31.817,,40.81,38.23,7.76,30.835,35.922,33.185,40.793,24.802,19.234,32.662,36.717,30.252,,9.561,11.152,26.279,37.097,41.72,32.324,34.956,30.837,30.835,12.599,,34.845,38.214,48.186,22.546,27.932,21.149,
2000,"Taxes on income, profits and capital gains of individuals and corporations",3.557,17.589,11.963,16.936,9.678,5.727,17.354,11.838,4.362,,3.04,3.641,5.547,2.784,7.328,10.964,28.722,9.284,7.714,19.723,10.823,12.931,3.034,8.964,,5.468,9.362,3.753,13.412,14.303,13.393,13.444,8.816,6.024,8.319,13.512,6.995,5.294,1.484,3.941,7.829,9.566,18.875,19.525,6.716,9.104,6.698,2.898,8.019,6.89,6.791,21.369,6.933,14.183,11.393,
2000,Social security contributions (SSC),3.043,0.0,14.283,13.508,10.552,6.961,4.719,6.54,1.366,,0.873,2.557,0.807,6.42,14.233,14.198,0.637,11.528,10.914,11.548,15.62,5.474,2.332,10.113,,13.264,11.309,,3.656,2.774,4.952,11.569,8.922,3.493,9.913,9.674,9.742,2.234,,1.97,5.902,14.269,8.758,0.0,12.878,7.918,11.1,0.52,0.0,13.926,14.931,12.744,4.398,6.664,0.0,
2000,Taxes on property,1.217,2.661,0.565,2.06,0.231,1.962,3.301,2.611,1.312,,0.175,1.039,0.828,0.181,0.454,0.83,1.564,2.134,0.388,1.113,2.991,3.735,0.747,2.571,,1.084,0.668,0.293,1.753,2.373,3.231,1.882,2.659,2.585,0.461,3.957,1.1,1.21,0.069,0.199,0.717,1.945,0.912,1.728,1.414,1.143,0.484,0.262,1.696,0.612,0.639,1.656,0.742,2.922,0.364,
2000,Taxes on goods and services,10.87,8.747,12.404,11.345,13.308,14.109,8.394,5.999,11.943,,6.713,7.268,8.376,9.873,10.125,10.369,15.669,10.104,12.071,13.354,11.486,10.519,7.631,11.777,,19.76,15.622,3.521,11.916,16.262,11.201,11.426,4.878,8.022,12.129,9.832,11.213,11.336,7.796,4.555,11.222,10.941,13.251,11.286,11.607,12.68,11.554,9.061,4.719,12.205,13.804,12.106,9.855,4.526,8.02,
2000,Total tax revenue,19.223,30.358,42.285,43.849,34.041,29.394,34.673,27.033,18.718,,10.8,15.683,15.558,21.139,32.154,36.369,46.792,33.05,31.087,45.759,43.666,32.658,14.389,33.424,,39.576,38.521,7.871,30.751,35.877,34.009,40.523,25.341,20.916,30.822,37.025,29.05,20.343,9.447,10.934,25.671,36.892,41.796,32.539,32.872,30.92,30.069,13.096,15.179,33.633,37.699,50.017,23.478,28.295,20.089,
2001,"Taxes on income, profits and capital gains of individuals and corporations",3.568,16.216,13.618,17.111,9.739,6.015,16.295,11.109,4.456,,3.678,4.512,5.849,3.103,7.71,10.112,27.79,9.229,7.172,17.605,11.081,12.679,2.949,7.793,,5.106,9.652,5.25,12.319,14.748,13.226,13.697,8.525,5.597,7.732,13.57,7.345,5.63,1.653,4.099,8.359,9.642,18.975,18.897,6.013,8.654,5.865,2.589,8.27,6.949,6.974,18.278,7.317,13.171,12.569,
2001,Social security contributions (SSC),2.89,0.0,14.244,13.686,9.603,7.008,4.838,6.729,1.383,,0.926,2.533,0.474,6.563,14.211,13.965,0.636,11.703,10.632,11.604,15.65,5.508,2.326,10.194,,12.762,11.171,,3.763,2.731,5.232,11.445,9.319,3.881,9.385,10.352,9.117,2.973,,2.057,6.021,12.698,9.043,0.0,13.412,8.18,11.003,0.515,0.0,14.084,15.103,13.203,5.461,6.69,0.002,
2001,Taxes on property,2.082,2.539,0.57,1.983,0.242,2.093,3.664,2.494,1.405,,0.163,1.185,0.79,0.194,0.478,0.803,1.629,2.062,0.363,1.003,2.962,3.686,0.66,2.161,,1.115,0.69,0.37,1.679,2.289,2.971,1.769,2.684,2.421,0.484,3.627,1.062,1.228,0.067,0.225,0.796,1.794,0.917,1.67,1.668,1.068,0.565,0.302,1.422,0.577,0.684,1.467,0.616,2.965,0.378,
2001,Taxes on goods and services,9.744,8.789,12.374,10.911,12.812,14.633,8.427,5.972,11.742,,7.161,7.878,9.823,10.155,9.841,10.239,15.611,9.802,12.127,12.863,11.182,10.304,7.816,11.79,,19.29,14.584,4.603,10.726,14.128,11.07,10.88,4.94,8.398,11.756,9.634,10.598,10.903,6.265,4.922,11.632,11.184,13.065,11.389,11.515,12.727,10.936,8.833,4.679,11.094,13.347,12.037,10.171,4.435,7.907,
2001,Total tax revenue,18.732,28.843,43.886,43.692,32.655,30.45,34.085,26.347,18.903,,11.929,17.328,16.937,21.763,32.25,35.127,45.935,32.796,30.295,43.115,43.549,32.176,14.528,31.937,,38.274,37.6,10.895,28.654,34.064,33.759,40.135,25.534,21.201,29.357,37.229,28.121,20.992,8.074,11.591,26.808,35.534,42.001,31.956,32.829,30.707,28.587,12.617,15.11,32.705,37.783,47.103,25.361,27.261,21.24,
2002,"Taxes on income, profits and capital gains of individuals and corporations",2.722,16.69,12.525,17.001,8.664,6.445,14.957,11.643,4.567,,3.697,4.344,6.917,3.111,8.197,9.666,27.644,9.714,7.477,17.541,10.271,11.97,2.938,7.964,,5.569,9.84,5.11,11.743,14.606,11.608,12.86,7.495,5.429,7.393,13.808,7.399,5.765,1.436,4.183,9.133,9.636,18.534,19.864,6.148,8.488,5.363,2.866,6.873,6.539,7.276,16.34,5.908,10.948,11.795,
2002,Social security contributions (SSC),2.53,0.0,14.058,13.908,9.321,7.284,5.033,6.895,1.402,,0.919,2.305,0.404,6.834,14.596,13.918,0.114,11.69,10.909,11.474,15.746,5.322,2.256,11.09,,11.82,12.206,,3.703,2.739,5.284,11.629,9.37,4.046,9.188,10.49,9.025,3.009,,2.084,5.995,12.283,9.66,0.0,12.808,8.237,10.715,0.558,0.0,14.411,15.005,13.012,4.713,6.622,0.214,
