TIME_PERIOD,REF_AREA,value,decade,region
1997,Brazil,8.626173296783518,1990,Americas
1997,Bulgaria,5.749345770511021,1990,Other
1997,Cameroon,1.7796475878416065,1990,Other
1997,Canada,25.259725356307047,1990,Americas
1997,Chile,8.589099772128773,1990,Americas
1997,China (People’s Republic of),2.285869410965331,1990,Other
1997,Colombia,7.0001967922756645,1990,Americas
1997,Costa Rica,7.268555172832193,1990,Americas
1997,Croatia,9.533557813588772,1990,Other
1997,Czechia,14.908347553224386,1990,Europe
1997,Denmark,24.881611674591426,1990,Europe
1997,Estonia,7.94122759601707,1990,Europe
1997,Finland,21.78216058990622,1990,Europe
1997,France,22.241000651988564,1990,Europe
1997,Germany,24.802341540915226,1990,Europe
1997,Greece,16.626489872916203,1990,Europe
1997,Hong Kong (China),26.611846201263678,1990,Asia
1997,Hungary,9.844129422070056,1990,Europe
1997,Iceland,26.89072351421189,1990,Europe
1997,Indonesia,6.400304181521855,1990,Asia
1997,Ireland,22.69304778538875,1990,Europe
1997,Israel,21.898280825695416,1990,Other
1997,Italy,23.931167631094173,1990,Europe
1997,Japan,25.629420661688265,1990,Asia
1997,Korea,16.302963659311484,1990,Asia
1997,Latvia,6.307923844687615,1990,Europe
1997,Lithuania,7.102879693841103,1990,Europe
1997,Luxembourg,42.437284744551626,1990,Europe
1997,Malta,15.48854846167712,1990,Other
1997,Mexico,9.848996893163932,1990,Americas
1997,Netherlands,26.054932163218243,1990,Europe
1997,New Zealand,19.072644708736583,1990,Oceania
1997,Norway,28.604387287173665,1990,Europe
1997,Poland,9.048752298130156,1990,Europe
1997,Portugal,15.78578584163363,1990,Europe
1997,Romania,5.565031338250407,1990,Other
1997,Singapore,39.28682534246576,1990,Asia
1997,Slovak Republic,10.13437369043621,1990,Europe
1997,Slovenia,15.250464299181353,1990,Europe
1997,South Africa,8.116265094458873,1990,Other
1997,Spain,17.902517989150255,1990,Europe
1997,Sweden,24.808881566677027,1990,Europe
1997,Switzerland,32.43488370151011,1990,Europe
1997,Türkiye,11.648768341398462,1990,Other
1997,United Kingdom,23.0663474465823,1990,Europe
1997,United States,31.42443892466973,1990,Americas
1998,Australia,25.725620961861573,1990,Oceania
1998,Austria,26.52918423691538,1990,Europe
1998,Belgium,24.37019779659688,1990,Europe
1998,Brazil,8.627021305241081,1990,Americas
1998,Bulgaria,6.17764660486538,1990,Other
1998,Cameroon,1.8360509372453135,1990,Other
1998,Canada,26.31993024878352,1990,Americas
1998,Chile,8.927893015018622,1990,Americas
1998,China (People’s Republic of),2.4719584894317936,1990,Other
1998,Colombia,7.02202488021382,1990,Americas
1998,Costa Rica,7.689864261250641,1990,Americas
1998,Croatia,9.88892191231684,1990,Other
1998,Czechia,15.06192836618911,1990,Europe
1998,Denmark,25.80194085527892,1990,Europe
1998,Estonia,8.408400689110618,1990,Europe
1998,Finland,23.56835917337732,1990,Europe
1998,France,23.322675406449896,1990,Europe
1998,Germany,25.63197949561673,1990,Europe
1998,Greece,17.432325401476003,1990,Europe
1998,Hong Kong (China),25.11497738386308,1990,Asia
1998,Hungary,10.414600884229106,1990,Europe
1998,Iceland,28.726018248175183,1990,Europe
1998,Indonesia,5.545152611968253,1990,Asia
1998,Ireland,25.082321266066803,1990,Europe
1998,Israel,22.44222288749,1990,Other
1998,Italy,25.073668583839865,1990,Europe
1998,Japan,25.520196542908927,1990,Asia
1998,Korea,15.52827320846026,1990,Asia
1998,Latvia,6.879060532185279,1990,Europe
1998,Lithuania,7.796779167679768,1990,Europe
1998,Luxembourg,44.21562106798057,1990,Europe
1998,Malta,16.221115636088033,1990,Other
1998,Mexico,10.438423140579784,1990,Americas
1998,Netherlands,27.7473659514866,1990,Europe
1998,New Zealand,19.285784185462347,1990,Oceania
1998,Norway,28.201383660573235,1990,Europe
1998,Poland,9.614447680493155,1990,Europe
1998,Portugal,16.686941177119024,1990,Europe
1998,Romania,5.545412348685497,1990,Other
1998,Singapore,37.56164935064936,1990,Asia
1998,Slovak Republic,10.665074149881708,1990,Europe
1998,Slovenia,15.9865932051456,1990,Europe
1998,South Africa,8.09544946049382,1990,Other
1998,Spain,19.086057326309657,1990,Europe
1998,Sweden,25.892865139661648,1990,Europe
1998,Switzerland,33.5426308794467,1990,Europe
1998,Türkiye,8.937317446849384,1990,Other
1998,United Kingdom,23.69260017101325,1990,Europe
1998,United States,32.817981995553204,1990,Americas
1999,Australia,27.16036692872267,1990,Oceania
1999,Austria,27.50008627028712,1990,Europe
1999,Belgium,25.440896209809903,1990,Europe
1999,Brazil,8.665532264581708,1990,Americas
1999,Bulgaria,5.807798043120718,1990,Other
1999,Cameroon,1.9593645867795937,1990,Other
1999,Canada,27.841629561328425,1990,Americas
1999,Chile,8.9097729958776,1990,Americas
1999,China (People’s Republic of),2.6788920881497145,1990,Other
1999,Colombia,6.658492877095304,1990,Americas
1999,Costa Rica,7.934314161441874,1990,Americas
1999,Croatia,9.94261354545652,1990,Other
1999,Czechia,15.49560089952293,1990,Europe
1999,Denmark,26.648647236471053,1990,Europe
1999,Estonia,8.479421403712296,1990,Europe
1999,Finland,24.761699932242763,1990,Europe
1999,France,24.270460885706708,1990,Europe
1999,Germany,26.73884060818943,1990,Europe
1999,Greece,17.75800014960455,1990,Europe
1999,Hong Kong (China),25.85988678674133,1990,Asia
1999,Hungary,10.892485589785815,1990,Europe
1999,Iceland,29.55551550108148,1990,Europe
1999,Indonesia,5.589992972616618,1990,Asia
1999,Ireland,27.041428048285184,1990,Europe
1999,Israel,22.92018490329334,1990,Other
1999,Italy,25.65467843131054,1990,Europe
1999,Japan,25.7449165791116,1990,Asia
1999,Korea,17.428555955981725,1990,Asia
1999,Latvia,7.200919036430092,1990,Europe
1999,Lithuania,7.856704059146971,1990,Europe
1999,Luxembourg,49.74497030171234,1990,Europe
1999,Malta,16.94178856417297,1990,Other
1999,Mexico,10.74395611096624,1990,Americas
1999,Netherlands,29.31641310397167,1990,Europe
1999,New Zealand,20.53741419240678,1990,Oceania
1999,Norway,30.57313738233976,1990,Europe
1999,Poland,10.183490723804546,1990,Europe
1999,Portugal,17.71815096124147,1990,Europe
1999,Romania,5.599946789610126,1990,Other
1999,Senegal,2.0482097345576875,1990,Other
1999,Singapore,39.945985097246776,1990,Asia
1999,Slovak Republic,10.726456777438242,1990,Europe
1999,Slovenia,17.001002664698643,1990,Europe
1999,South Africa,8.259056104137958,1990,Other
1999,Spain,19.94667369933965,1990,Europe
1999,Sweden,27.49739350832628,1990,Europe
1999,Switzerland,34.40180920622342,1990,Europe
1999,Türkiye,8.6252793857711,1990,Other
1999,United Kingdom,24.492865789653056,1990,Europe
1999,United States,34.47979436361553,1990,Americas
2000,Australia,28.33313006252312,2000,Oceania
2000,Austria,29.214733049693404,2000,Europe
2000,Belgium,27.78823288980802,2000,Europe
2000,Brazil,9.104982693767816,2000,Americas
2000,Bulgaria,6.422777757922355,2000,Other
2000,Cameroon,2.0267629882686604,2000,Other
2000,Canada,29.3622895723843,2000,Americas
2000,Chile,9.440041891742345,2000,Americas
2000,China (People’s Republic of),2.9523439945401324,2000,Other
2000,Colombia,6.886405813355871,2000,Americas
